,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2001,横　浜,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,2002,横　浜,42,73,66,11,22,4,1,2,34,7,0,0,3,0,4,0,13,1,0.33299999999999996,0.515,0.371
2,2003,横　浜,45,161,150,20,47,5,0,4,64,18,4,4,6,0,5,0,13,1,0.313,0.42700000000000005,0.335
3,2004,横　浜,94,369,338,55,97,11,1,17,161,45,2,7,12,1,18,0,42,7,0.287,0.47600000000000003,0.322
4,2005,横　浜,90,262,234,33,64,11,0,5,90,23,1,1,6,1,19,2,36,10,0.27399999999999997,0.385,0.332
5,2006,横　浜,124,439,402,41,115,15,2,4,146,34,8,3,7,3,22,5,64,9,0.28600000000000003,0.363,0.32899999999999996
6,2007,横　浜,92,274,247,24,69,17,3,7,113,29,3,4,4,1,16,6,37,9,0.27899999999999997,0.457,0.337
7,2008,横　浜,135,544,500,83,189,37,1,14,270,67,2,3,5,4,31,4,49,7,0.37799999999999995,0.54,0.41600000000000004
8,2009,横　浜,132,552,503,65,160,32,2,17,247,66,1,5,2,4,42,1,56,16,0.318,0.491,0.369
9,2010,横　浜,144,637,577,75,182,36,4,9,253,66,1,2,3,4,47,6,51,17,0.315,0.43799999999999994,0.371
10,2011,福岡ソフトバンク,114,463,429,48,145,21,3,12,208,74,4,0,0,7,25,2,48,3,0.33799999999999997,0.485,0.371
11,2012,福岡ソフトバンク,138,567,523,44,157,21,3,7,205,53,6,4,0,7,31,6,36,12,0.3,0.392,0.342
12,2013,福岡ソフトバンク,144,633,570,76,180,33,1,19,272,92,1,0,0,5,46,12,47,23,0.316,0.47700000000000004,0.376
13,2014,福岡ソフトバンク,122,534,488,50,150,26,1,18,232,74,0,0,0,7,34,5,48,5,0.307,0.475,0.354
14,2015,福岡ソフトバンク,136,585,529,60,150,24,1,11,209,82,1,0,0,7,45,4,55,24,0.284,0.395,0.34
15,2016,福岡ソフトバンク,141,605,556,62,169,19,0,18,242,106,3,2,0,9,38,2,53,27,0.304,0.435,0.345
16,2017,福岡ソフトバンク,73,300,266,31,79,13,0,12,128,50,0,1,0,2,32,0,26,9,0.297,0.48100000000000004,0.37
17,2018,福岡ソフトバンク,71,296,281,27,68,11,0,8,103,30,1,1,0,3,9,3,32,6,0.242,0.36700000000000005,0.27
18,2019,福岡ソフトバンク,137,535,500,49,128,21,0,12,185,41,3,0,1,4,28,2,49,16,0.256,0.37,0.29600000000000004
19,nan,通　算,1977,7831,7161,855,2171,357,23,196,3162,957,41,37,49,69,492,60,755,202,0.303,0.442,0.35
