,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2009,オリックス,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1,2010,オリックス,18.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,128.0,31.2,21.0,3.0,14.0,1.0,31.0,0.0,0.0,12.0,12.0,3.41
2,2011,オリックス,25.0,10.0,7.0,1.0,0.0,1.0,1.0,0.0,1.0,0.588,537.0,130.2,109.0,8.0,26.0,16.0,106.0,1.0,0.0,49.0,44.0,3.03
3,2012,オリックス,19.0,8.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.727,503.0,123,106.0,3.0,33.0,5.0,87.0,2.0,0.0,41.0,38.0,2.78
4,2013,オリックス,28.0,9.0,8.0,0.0,0.0,0.0,3.0,0.0,1.0,0.529,708.0,166,178.0,13.0,42.0,14.0,137.0,5.0,0.0,74.0,67.0,3.63
5,2014,オリックス,24.0,12.0,10.0,0.0,0.0,0.0,3.0,1.0,2.0,0.545,640.0,156,146.0,11.0,35.0,7.0,119.0,1.0,0.0,65.0,57.0,3.29
6,2015,オリックス,24.0,10.0,6.0,0.0,0.0,0.0,3.0,2.0,0.0,0.625,655.0,162.2,140.0,11.0,43.0,6.0,143.0,3.0,0.0,46.0,43.0,2.38
7,2016,オリックス,26.0,10.0,12.0,0.0,0.0,0.0,2.0,1.0,0.0,0.455,712.0,165.1,171.0,4.0,48.0,8.0,108.0,2.0,0.0,80.0,76.0,4.14
8,2017,オリックス,17.0,5.0,6.0,0.0,0.0,0.0,3.0,1.0,0.0,0.455,483.0,117.2,108.0,14.0,29.0,7.0,88.0,0.0,0.0,46.0,45.0,3.44
9,2018,オリックス,25.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.435,679.0,162.1,162.0,15.0,36.0,6.0,119.0,1.0,0.0,66.0,65.0,3.6
10,2019,阪　神,26.0,10.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.556,702.0,172.1,159.0,12.0,36.0,9.0,112.0,2.0,0.0,60.0,56.0,2.92
11,2020,阪　神,21.0,11.0,5.0,0.0,0.0,0.0,4.0,2.0,2.0,0.688,582.0,147.2,116.0,15.0,28.0,4.0,115.0,1.0,1.0,44.0,37.0,2.26
12,2021,阪　神,24.0,6.0,9.0,0.0,0.0,0.0,2.0,0.0,1.0,0.4,610.0,143.2,143.0,12.0,40.0,4.0,95.0,2.0,0.0,68.0,60.0,3.76
13,nan,通　算,280.0,101.0,87.0,1.0,1.0,2.0,24.0,9.0,7.0,0.537,6952.0,1683,1559.0,121.0,411.0,87.0,1262.0,20.0,1.0,651.0,600.0,3.21
